year,rank,country,gold,silver,bronz,total
1928,1,United States,22,18,16,56
1928,2,Germany,10,7,14,31
1928,3,Finland,8,8,9,25
1928,4,Sweden,7,6,12,25
1928,5,Italy,7,5,7,19
1928,6,Switzerland,7,4,4,15
1928,7,France,6,10,5,21
1928,8,Netherlands,6,9,4,19
1928,9,Hungary,4,5,0,9
1928,10,Canada,4,4,7,15
1928,11,Great Britain,3,10,7,20
1928,12,Argentina,3,3,1,7
1928,13,Denmark,3,1,2,6
1928,14,Czechoslovakia,2,5,2,9
1928,15,Japan,2,2,1,5
1928,16,Estonia,2,1,2,5
1928,17,Egypt,2,1,1,4
1928,18,Austria,2,0,1,3
1928,19,Australia,1,2,1,4
1928,19,Norway (NOR),1,2,1,4
1928,21,Poland,1,1,3,5
1928,21,Yugoslavia (YUG),1,1,3,5
1928,23,South Africa,1,0,2,3
1928,24,India,1,0,0,1
1928,24,Ireland (IRL),1,0,0,1
1928,24,New,1,0,0,1
1928,24,Spain (ESP),1,0,0,1
1928,24,Uruguay (URU),1,0,0,1
1928,29,Belgium,0,1,2,3
1928,30,Chile,0,1,0,1
1928,30,Haiti (HAI),0,1,0,1
1928,32,Philippines,0,0,1,1
1928,32,Portugal (POR),0,0,1,1
